url,path,path_depth,slug_tokens,action,object,scene,intent_category,notes,lastmod
https://www.krea.ai/nodes/app/paiaz/desert-island,/nodes/app/paiaz/desert-island,4,nodes app paiaz desert island,,,,unknown,,2025-12-17T17:22:32.749Z
https://www.krea.ai/nodes/app/shoomov/deconstructor,/nodes/app/shoomov/deconstructor,4,nodes app shoomov deconstructor,,,,unknown,,2025-12-19T02:02:44.962Z
https://www.krea.ai/nodes/app/bakbekbak/dusker-public,/nodes/app/bakbekbak/dusker-public,4,nodes app bakbekbak dusker public,,,,unknown,,2025-12-24T08:35:28.569Z
https://www.krea.ai/nodes/app/raminzaid/christmas-selfie-1,/nodes/app/raminzaid/christmas-selfie-1,4,nodes app raminzaid christmas selfie 1,,headshot,,general-headshot,headshot related utility.,2025-12-14T13:25:42.293Z
https://www.krea.ai/nodes/app/majesticwholesomecougar/character-turnaround,/nodes/app/majesticwholesomecougar/character-turnaround,4,nodes app majesticwholesomecougar character turnaround,,,,unknown,,2025-12-20T17:45:29.461Z
https://www.krea.ai/nodes/app/Numan/gta-me-1,/nodes/app/Numan/gta-me-1,4,nodes app numan gta me 1,,,,unknown,,2025-12-04T22:56:31.980Z
https://www.krea.ai/nodes/app/upbeatexhilaratingmarkhor/test-app,/nodes/app/upbeatexhilaratingmarkhor/test-app,4,nodes app upbeatexhilaratingmarkhor test app,,,,unknown,,2025-12-12T00:43:52.936Z
https://www.krea.ai/nodes/app/remarkablezorse/test,/nodes/app/remarkablezorse/test,4,nodes app remarkablezorse test,,,,unknown,,2025-12-08T13:57:35.210Z
https://www.krea.ai/nodes/app/supportiveenviousalligator/image-reverse-prompt-generator,/nodes/app/supportiveenviousalligator/image-reverse-prompt-generator,4,nodes app supportiveenviousalligator image reverse prompt generator,generate,image,,generate-image,Generate new image from prompts or source assets.,2025-12-16T07:19:28.135Z
https://www.krea.ai/nodes/app/umiros/natural-skin-v2,/nodes/app/umiros/natural-skin-v2,4,nodes app umiros natural skin v2,,,,unknown,,2025-12-11T16:29:03.634Z
https://www.krea.ai/nodes/app/leetatham/elfie-booth-2,/nodes/app/leetatham/elfie-booth-2,4,nodes app leetatham elfie booth 2,,,,unknown,,2025-12-22T13:08:56.343Z
https://www.krea.ai/nodes/app/Flambra/ad-cloner-v2,/nodes/app/Flambra/ad-cloner-v2,4,nodes app flambra ad cloner v2,,,,unknown,,2025-12-26T00:38:19.302Z
https://www.krea.ai/nodes/app/tiihonen/aaro-trailer,/nodes/app/tiihonen/aaro-trailer,4,nodes app tiihonen aaro trailer,,,,unknown,,2025-12-06T11:35:04.473Z
https://www.krea.ai/nodes/app/swankiestenhancedolm/probably-a-pfp,/nodes/app/swankiestenhancedolm/probably-a-pfp,4,nodes app swankiestenhancedolm probably a pfp,,,,unknown,,2025-12-22T04:24:51.793Z
https://www.krea.ai/nodes/app/equitableexquisitesiamese/banana-and-kling-ugc,/nodes/app/equitableexquisitesiamese/banana-and-kling-ugc,4,nodes app equitableexquisitesiamese banana and kling ugc,,,,unknown,,2025-12-04T17:26:11.914Z
https://www.krea.ai/nodes/app/virtuousdexterousrottweiler/hypernetic-character,/nodes/app/virtuousdexterousrottweiler/hypernetic-character,4,nodes app virtuousdexterousrottweiler hypernetic character,,,,unknown,,2025-12-14T11:26:30.320Z
https://www.krea.ai/nodes/app/heartfeltglisteningcoelacanth/the-three-dwarfs-of-growth2,/nodes/app/heartfeltglisteningcoelacanth/the-three-dwarfs-of-growth2,4,nodes app heartfeltglisteningcoelacanth the three dwarfs of growth2,,,,unknown,,2025-12-15T03:51:45.377Z
https://www.krea.ai/nodes/app/steadysubsidizedkiwi/3b170b88-1293-431b-8c90-05c4d0ac8c62,/nodes/app/steadysubsidizedkiwi/3b170b88-1293-431b-8c90-05c4d0ac8c62,4,nodes app steadysubsidizedkiwi 3b170b88 1293 431b 8c90 05c4d0ac8c62,,,,unknown,,2025-12-16T13:21:14.687Z
https://www.krea.ai/nodes/app/adii/ajldaldl,/nodes/app/adii/ajldaldl,4,nodes app adii ajldaldl,,,,unknown,,2025-11-24T21:04:42.064Z
https://www.krea.ai/nodes/app/esotericcofe/line-sticker-generator,/nodes/app/esotericcofe/line-sticker-generator,4,nodes app esotericcofe line sticker generator,generate,,,generate-general,Generate new content from prompts or source assets.,2025-12-20T21:11:14.242Z
https://www.krea.ai/nodes/app/magicalbonobo/ghost-photo-simulation-pro-ex,/nodes/app/magicalbonobo/ghost-photo-simulation-pro-ex,4,nodes app magicalbonobo ghost photo simulation pro ex,,photo,,general-photo,photo related utility.,2025-12-16T10:23:19.643Z
https://www.krea.ai/nodes/app/NIKVS10/neo-metal-plate,/nodes/app/NIKVS10/neo-metal-plate,4,nodes app nikvs10 neo metal plate,,,,unknown,,2025-12-20T23:23:42.068Z
https://www.krea.ai/nodes/app/umiros/old,/nodes/app/umiros/old,4,nodes app umiros old,,,,unknown,,2025-12-12T11:25:33.375Z
https://www.krea.ai/nodes/app/annehorel/ugly-family-portrait,/nodes/app/annehorel/ugly-family-portrait,4,nodes app annehorel ugly family portrait,,headshot,,general-headshot,headshot related utility.,2025-12-16T21:29:52.500Z
https://www.krea.ai/nodes/app/reebwheep/3000,/nodes/app/reebwheep/3000,4,nodes app reebwheep 3000,,,,unknown,,2025-12-12T20:37:57.206Z
https://www.krea.ai/nodes/app/unbeatableindustriousgopher/glitterball-ify-yourself,/nodes/app/unbeatableindustriousgopher/glitterball-ify-yourself,4,nodes app unbeatableindustriousgopher glitterball ify yourself,,,,unknown,,2025-12-03T19:19:12.230Z
https://www.krea.ai/nodes/app/InformDesigns/linkedin-ready,/nodes/app/InformDesigns/linkedin-ready,4,nodes app informdesigns linkedin ready,,,,unknown,,2025-12-17T17:24:15.078Z
https://www.krea.ai/nodes/app/supermagnanimousdunker/hi,/nodes/app/supermagnanimousdunker/hi,4,nodes app supermagnanimousdunker hi,,,,unknown,,2025-11-25T20:20:18.874Z
https://www.krea.ai/nodes/app/PashaKirillov_Ai/-2,/nodes/app/PashaKirillov_Ai/-2,4,nodes app pashakirillov ai 2,,,,unknown,,2025-12-13T19:48:44.589Z
https://www.krea.ai/nodes/app/endorsedmonkey/the-grinch-steals-christmas,/nodes/app/endorsedmonkey/the-grinch-steals-christmas,4,nodes app endorsedmonkey the grinch steals christmas,,,,unknown,,2025-12-18T17:59:12.175Z
https://www.krea.ai/nodes/app/keeninspiringfangtooth/wgat-tge-fawrfgaeaw,/nodes/app/keeninspiringfangtooth/wgat-tge-fawrfgaeaw,4,nodes app keeninspiringfangtooth wgat tge fawrfgaeaw,,,,unknown,,2025-12-15T05:41:00.215Z
https://www.krea.ai/nodes/app/Sawier/neon1,/nodes/app/Sawier/neon1,4,nodes app sawier neon1,,,,unknown,,2025-12-04T16:15:23.817Z
https://www.krea.ai/nodes/app/DDGenRateDD/gigposter,/nodes/app/DDGenRateDD/gigposter,4,nodes app ddgenratedd gigposter,,,,unknown,,2025-12-22T21:02:33.213Z
https://www.krea.ai/nodes/app/Eigooooooo/octane-c4d-product-rendering-and-animation-v2,/nodes/app/Eigooooooo/octane-c4d-product-rendering-and-animation-v2,4,nodes app eigooooooo octane c4d product rendering and animation v2,,,,unknown,,2025-12-20T17:05:14.282Z
https://www.krea.ai/nodes/app/heartfeltglisteningcoelacanth/upscale-weight-what-sigma123,/nodes/app/heartfeltglisteningcoelacanth/upscale-weight-what-sigma123,4,nodes app heartfeltglisteningcoelacanth upscale weight what sigma123,upscale,,,upscale-general,Increase resolution/size of the content without losing quality.,2025-12-15T02:27:22.323Z
https://www.krea.ai/nodes/app/umiros/multi-angles-shot,/nodes/app/umiros/multi-angles-shot,4,nodes app umiros multi angles shot,,,,unknown,,2025-12-10T08:40:07.519Z
https://www.krea.ai/nodes/app/Numan/news-interview,/nodes/app/Numan/news-interview,4,nodes app numan news interview,,,,unknown,,2025-12-04T21:31:24.688Z
